system_id,ligand_chain_id,n_atoms,plddt_mean,rmsd
5sjo__1__1.A__1.H,1.H,31,95.24451612903228,1.5190051189779707
5sjt__1__1.A__1.H,1.H,29,97.81068965517242,0.2031763722838565
5sju__1__1.A__1.G,1.G,31,95.4541935483871,0.573361022401015
5sjv__1__1.A__1.G,1.G,24,97.65458333333333,0.21884775615508173
5sjw__1__1.A__1.I,1.I,28,95.59071428571428,0.8143835082012815
5sk0__1__1.A__1.G,1.G,27,94.28444444444447,2.02056047969534
5sk4__1__1.A__1.G,1.G,30,93.96033333333331,0.20145300801155838
5sk5__1__1.A__1.H,1.H,32,97.56125,0.12745552751862305
5sk6__1__1.A__1.G,1.G,30,97.35866666666665,0.20073412767833082
5sk9__1__1.A__1.G,1.G,14,89.50214285714286,0.05217955257693022
5skd__1__1.A__1.G,1.G,31,94.82838709677421,1.6748807810083777
5ske__1__1.A__1.G,1.G,31,81.42129032258065,2.1019412215521784
5skf__1__1.A__1.I,1.I,31,96.74193548387099,0.09826518074636281
5skg__1__1.A__1.G,1.G,29,97.10965517241381,0.1965630917403542
5skh__1__1.A__1.H,1.H,30,95.15633333333334,1.4645067931479685
5ski__1__1.A__1.G,1.G,25,96.10520000000001,0.18496377068784728
5skl__1__1.A__1.G,1.G,34,97.12617647058823,0.15701420703943905
5skm__1__1.A__1.G,1.G,27,96.83518518518518,0.3245771181224855
5sko__1__1.A__1.G,1.G,31,97.52967741935484,0.19171410365291744
5skr__1__1.A__1.G,1.G,27,85.86962962962963,0.6549651173709109
5skt__1__1.A__1.G,1.G,21,92.57285714285715,1.2216309216352428
5sku__1__1.A__1.G,1.G,36,80.06111111111109,1.4464066122301273
5slg__1__1.A__1.G,1.G,18,47.028333333333336,1.3407625435101767
5umb__1__1.A__1.E_1.F_1.G,1.F,5,88.76599999999999,0.0822177118541627
5umb__1__1.A__1.E_1.F_1.G,1.G,27,95.9937037037037,0.2758650280568306
6zfz__1__1.A__1.B,1.B,24,92.95166666666667,0.3133637390200023
6zg4__1__1.A__1.B,1.B,26,90.34846153846154,0.8034995391467371
6zg9__1__1.A__1.B,1.B,24,92.97791666666666,0.6744689135601688
6zk2__1__1.A_1.B__1.E_1.F,1.F,19,81.3242105263158,0.7291279854639602
6zk5__1__1.A_1.B__1.F_1.G,1.F,19,82.6742105263158,0.6544176039884965
7a4q__1__1.A__1.B,1.B,20,95.631,0.23655181105318
7a9g__1__1.A_1.B__1.O_1.P,1.O,29,90.44862068965516,0.20115220401161135
7a9h__1__1.A_1.B__1.C_1.D,1.D,26,93.60423076923077,0.5801369762052014
7aag__1__1.A__1.G_1.H,1.G,40,89.06225,0.5899868396856163
7aag__1__1.A__1.G_1.H,1.H,4,56.775000000000006,0.15894717210232953
7ab9__1__1.A__1.G_1.P,1.G,4,66.9425,0.43202166516365487
7ab9__1__1.A__1.G_1.P,1.P,34,91.05999999999999,1.008671991695822
7abe__1__1.A__1.G_1.W,1.G,4,68.85249999999999,0.37286240376378293
7abe__1__1.A__1.G_1.W,1.W,29,93.35241379310342,1.0306026706978668
7abj__1__1.A__1.T,1.T,25,94.2916,0.6646300804171308
7ana__1__1.A__1.C,1.C,15,90.93,0.19350120036689972
7ay9__1__1.A__1.I,1.I,35,92.32914285714286,0.6063480640315917
7aya__1__1.A__1.H_1.N_1.U,1.H,5,61.1,0.022101276010525008
7aya__1__1.A__1.H_1.N_1.U,1.N,4,64.52499999999999,0.24405509815970047
7aya__1__1.A__1.H_1.N_1.U,1.U,31,92.10741935483871,0.6041411172237456
7b2u__1__1.A_1.B__1.C,1.C,21,91.77142857142856,0.4684901162976595
7b3g__1__1.A__1.I,1.I,18,87.34111111111112,1.4294789685306053
7b3h__1__1.A__1.H,1.H,22,90.41909090909093,0.40458720088844763
7b3i__1__1.A__1.I,1.I,18,89.42,0.5088839688175492
7b3p__1__1.A__1.G,1.G,18,91.47444444444444,0.28995928390626075
7b3x__1__1.A__1.F,1.F,18,89.7,0.3960668371562066
7b4x__1__1.A__1.M,1.M,18,92.19,0.36065252517771706
7b87__1__1.A__1.N,1.N,18,78.42944444444443,0.9615058707085687
7b89__1__1.A__1.D,1.D,15,91.792,0.18664431505523854
7b8a__1__1.A__1.F,1.F,18,78.51277777777779,3.339161884748694
7bc9__1__1.A__1.J,1.J,17,83.06882352941177,0.8610518988875187
7bcf__1__1.A__1.H,1.H,18,92.19611111111111,0.2537233371953139
7bdd__1__1.A__1.G,1.G,18,94.75166666666665,0.9385833676859306
7bi6__1__1.A__1.B_1.G,1.B,31,87.87451612903226,0.5879786924072656
7bia__1__1.A_1.B__1.D_1.E,1.D,20,94.8105,0.14572578412827417
7bia__1__1.A_1.B__1.D_1.E,1.E,9,71.40888888888888,1.5970659263064175
7blw__1__1.A__1.F,1.F,21,76.44571428571427,1.3731169619051817
7bm3__1__1.A__1.M_1.P,1.M,4,54.36,0.2102974191214996
7bm3__1__1.A__1.M_1.P,1.P,26,80.61923076923077,2.8254874408171577
7bm7__1__1.A__1.F,1.F,17,89.7994117647059,0.5640854408238412
7bmd__1__1.A__1.G_1.R,1.G,5,54.778,0.016335731271439172
7bmd__1__1.A__1.G_1.R,1.R,15,82.05866666666665,1.4771487229830584
7bn5__1__1.A__1.G,1.G,15,93.85933333333334,0.1224503737214645
7bn6__1__1.A__1.C_1.D,1.C,7,85.74571428571429,0.28441705015559626
7bn6__1__1.A__1.C_1.D,1.D,31,97.53387096774193,0.13337716233736224
7bn7__1__1.A__1.E_1.F,1.E,31,97.49645161290324,0.12293220738553885
7bn7__1__1.A__1.E_1.F,1.F,6,78.41333333333334,0.5466334514582329
7bn8__1__1.A__1.G,1.G,16,95.505625,0.22341561640279306
7bnc__1__1.A__1.K,1.K,17,92.56294117647059,0.13289307097982087
7bo0__1__1.A__1.C_1.D,1.C,7,85.93714285714285,0.10226048678870027
7bo0__1__1.A__1.C_1.D,1.D,31,97.73516129032258,0.12754835459430358
7bo3__1__1.A__1.M_1.N,1.M,6,78.315,0.6223405192581264
7bo3__1__1.A__1.M_1.N,1.N,22,92.1390909090909,0.6557760682185741
7dcb__1__1.A_1.B__1.C_1.D,1.D,19,60.22210526315789,0.5258222753939078
7dcw__1__1.A_1.B__1.D,1.D,19,77.36105263157894,1.9076716952603632
7dg4__1__1.A__1.B,1.B,26,94.93923076923078,0.7303358214443014
7dgc__1__1.A_1.B__1.C_1.D,1.C,21,86.63380952380952,2.3398825906744736
7dh3__1__1.A__1.B,1.B,25,97.4932,0.5218763126300391
7dh9__1__1.A__1.B,1.B,28,95.5125,0.7580039364564483
7dhn__1__1.A__1.B,1.B,25,86.5692,1.0552850999828431
7di7__1__1.A__1.D,1.D,22,39.07863636363636,2.2406647226537246
7dia__1__1.A__1.D_1.E_1.G,1.D,4,42.0375,0.044785257371193245
7dia__1__1.A__1.D_1.E_1.G,1.E,26,35.36230769230769,1.169543659664054
7dia__1__1.A__1.D_1.E_1.G,1.G,4,33.1375,0.040003750359309774
7dij__1__1.A__1.F_1.J,1.F,4,30.16,0.21974904043592386
7dij__1__1.A__1.F_1.J,1.J,17,31.289999999999996,0.5938405982915373
7dlc__1__1.A_1.B__1.C_1.D,1.D,21,82.27333333333334,0.7380574973319234
7dm6__1__1.A_1.B__1.C_1.D,1.D,20,82.5615,1.9854123347968906
7dmc__1__1.A__1.B_1.E_1.F,1.B,36,94.30305555555555,0.8642079077938855
7dml__1__1.A__1.E,1.E,15,89.28466666666667,0.8952031459683035
7dnn__1__1.A_1.B__1.E,1.E,32,82.1953125,2.159741529714858
7dow__1__1.A_1.B__1.C,1.C,20,87.848,0.34705288455306604
7dox__1__1.A_1.B__1.E_1.F,1.F,21,81.46190476190478,0.5173513430823216
7doy__1__1.A_1.B__1.E,1.E,21,77.53333333333333,0.7441182627590202
7dpk__1__1.A_1.B__1.C_1.D,1.C,20,81.303,0.2657815499078988
7du9__1__1.A_1.B__1.D,1.D,39,30.011794871794866,0.41097245434467566
7duy__1__1.A__1.B_1.C_1.D,1.D,15,88.56666666666666,1.4304956862788485
7dva__1__1.A__1.C_1.E,1.C,19,96.2721052631579,0.11511428557262453
7dva__1__1.A__1.C_1.E,1.E,6,44.05666666666667,0.6774800522813443
7dvb__1__1.A__1.E,1.E,18,96.11833333333333,0.1013340662275685
7dw7__1__1.A__1.B_1.JB_1.KB_1.LB,1.B,27,85.45000000000002,0.42339017004801766
7dxl__1__1.A__1.C,1.C,29,88.88586206896552,0.2788326542867132
7dyq__1__1.A__1.B_1.C,1.B,17,89.65411764705881,0.09333338572973982
7dyw__1__1.A__1.B_1.C,1.B,22,92.4559090909091,1.8253510980213832
7e1g__1__1.A__1.C_1.D,1.D,31,94.84161290322581,0.23901951212827985
7e1n__1__1.A_1.B__1.D,1.D,15,75.092,1.0324789078486363
7e60__1__1.A__1.B_1.C,1.C,25,77.05959999999999,1.427190128728604
7ed1__1__1.A_1.B__1.C_1.D_1.E_1.F,1.C,48,71.078125,0.4238302351624753
7ed1__1__1.A_1.B__1.C_1.D_1.E_1.F,1.D,16,48.609375,3.249905621659603
7ed2__1__1.A_1.B__1.F_1.G_1.H,1.F,27,64.41777777777777,0.18144861429036616
7ef7__1__1.A__1.B_1.C,1.C,24,87.34208333333333,0.7346737636272329
7ekr__1__1.A__1.C,1.C,42,52.7197619047619,1.5954906781088647
7ems__1__1.A__1.D,1.D,49,82.21142857142857,0.6018152985911265
7ene__1__1.A_1.B__1.E,1.E,34,82.79499999999999,2.5446816887558374
7er2__1__1.A__1.B,1.B,39,88.17743589743588,0.7813293773529469
7ere__1__1.A_1.B__1.G_1.I,1.G,29,67.08275862068965,1.7782143896123623
7ere__1__1.A_1.B__1.G_1.I,1.I,48,74.88083333333333,0.20844973939235445
7es1__1__1.A__1.C,1.C,34,78.64499999999998,2.5621229622492474
7esb__1__1.A__1.B_1.C_1.D_1.E,1.B,31,92.35548387096773,1.0681671177102623
7esc__1__1.A__1.B_1.C,1.B,23,94.97521739130434,0.38097928554806304
7eve__1__1.A__1.B_1.C_1.D,1.B,28,96.23107142857141,0.6728181619915792
7evv__1__1.A__1.B_1.C,1.B,28,92.74464285714285,1.2185595926615143
7evv__1__1.A__1.B_1.C,1.C,8,92.35,0.2697074550393375
7ex2__1__1.A__1.C_1.D_1.E,1.E,30,84.44533333333332,2.584718824748863
7ex3__1__1.A__1.B_1.C_1.D,1.D,31,80.07483870967742,2.427787471382737
7eyu__1__1.A_1.B__1.C_1.D_1.E,1.C,10,89.136,0.09739873297823716
7eyu__1__1.A_1.B__1.C_1.D_1.E,1.D,29,81.8144827586207,0.7825443521724259
7f06__1__1.A__1.C,1.C,25,88.902,0.5996605229244544
7f2k__1__1.A__1.C_1.D_1.E,1.E,36,76.69166666666666,1.07140483904723
7f2l__1__1.A__1.C_1.D_1.E,1.E,44,82.79840909090909,1.2821473735702853
7f2m__1__1.A__1.C_1.D_1.E,1.E,44,83.35136363636364,1.1595500894529236
7f2u__1__1.A__1.C_1.D_1.E,1.C,27,92.59814814814816,0.5332711219438465
7f35__1__1.A_1.B__1.G,1.G,27,82.3862962962963,1.1911646223538175
7f50__1__1.A__1.B_1.C_1.E,1.E,31,95.21709677419354,0.6010282513497051
7f51__1__1.A__1.C,1.C,44,92.52068181818184,1.1935337275879685
7f7m__1__1.A__1.C_1.D,1.C,10,83.13699999999999,1.0162380728932192
7f7m__1__1.A__1.C_1.D,1.D,48,97.765625,0.17636548315548442
7f8t__1__1.A__1.L_1.M,1.L,6,63.779999999999994,0.5624501379031852
7f8t__1__1.A__1.L_1.M,1.M,53,98.40358490566037,0.17646375794621397
7f8u__1__1.A__1.B,1.B,28,90.02857142857144,1.3891483617660458
7fai__1__1.A__1.E,1.E,33,71.39545454545454,0.9947656636137671
7faj__1__1.A__1.E,1.E,33,63.70818181818183,1.1900953199899658
7faq__1__1.A__1.B_1.C_1.D_1.E,1.D,5,60.022000000000006,0.2135535680709628
7faq__1__1.A__1.B_1.C_1.D_1.E,1.E,24,95.14541666666666,0.32938179532582557
7far__1__1.A__1.B_1.C_1.D,1.D,31,93.24354838709678,1.265271415185439
7fd6__1__1.A__1.B,1.B,28,83.125,0.2545342209565211
7fe2__1__1.A__1.E_1.I,1.E,23,84.67999999999999,0.731138846889515
7fee__1__1.A__1.D,1.D,27,82.42407407407407,0.4342200345278168
7fee__1__1.A__1.E,1.E,26,76.77730769230769,2.817384871781866
7fhb__1__1.A__1.B,1.B,19,85.39684210526316,1.3716149171709626
7fhs__1__1.A__1.E_1.G,1.E,18,91.28277777777778,0.37929811882872916
7fhs__1__1.A__1.E_1.G,1.G,6,66.52833333333335,0.5238607079681044
7fti__1__1.A__1.C,1.C,16,90.576875,0.1835751114636935
7ftm__1__1.A__1.C,1.C,17,86.65529411764705,0.4288168583574411
7ftr__1__1.A__1.C_1.D_1.E_1.G,1.E,31,97.39709677419353,0.1652493024653088
7ftr__1__1.A__1.C_1.D_1.E_1.G,1.G,23,82.61304347826085,1.7050590711472695
7ftu__1__1.A__1.C_1.D_1.E_1.G,1.E,31,97.38838709677418,0.2464852593516783
7ftu__1__1.A__1.C_1.D_1.E_1.G,1.G,30,79.809,2.1997743635122187
7ftv__1__1.A__1.C,1.C,22,76.495,1.3512054913280767
7ftw__1__1.A__1.C,1.C,24,73.17791666666666,2.094556107267018
7ftz__1__1.A__1.D,1.D,28,73.20785714285714,2.4299857347551557
7fu2__1__1.A__1.C,1.C,21,80.40904761904763,1.4535128211080894
7fu6__1__1.A__1.C,1.C,27,75.08555555555556,1.1685833838860447
7fu7__1__1.A__1.C,1.C,28,76.06000000000002,1.8760505845105024
7fu8__1__1.A__1.C,1.C,28,73.18535714285714,2.6077610010250662
7fuc__1__1.A__1.C,1.C,27,77.77333333333334,1.8219418683920208
7fuf__1__1.A__1.C,1.C,32,72.37375,2.7500768890560585
7fum__1__1.A__1.C,1.C,34,76.50441176470588,2.035306462644347
7fur__1__1.A__1.C_1.D_1.E_1.F,1.E,31,97.99580645161292,0.1999062795025118
7fur__1__1.A__1.C_1.D_1.E_1.F,1.F,26,96.42115384615384,0.9237686498171317
7fvs__1__1.A_1.B__1.J,1.J,29,30.804827586206898,1.1606947427852887
7fw3__1__1.A__1.B,1.B,20,88.15700000000001,0.6697050140367745
7fwb__1__1.A__1.B,1.B,20,84.9845,1.9529161028789948
7fwe__1__1.A__1.B,1.B,14,94.79714285714286,0.5741255136111749
7fwh__1__1.A__1.B,1.B,18,97.78999999999999,0.2211339044716648
7fwi__1__1.A__1.D,1.D,21,92.97714285714287,1.6979359558879257
7fwl__1__1.A__1.B,1.B,17,95.1405882352941,0.1865626059910752
7fwm__1__1.A__1.B,1.B,22,90.56045454545455,0.18409204628106965
7fwn__1__1.A__1.D,1.D,27,87.84518518518517,0.4102735918674263
7fwr__1__1.A__1.B,1.B,17,92.84882352941177,2.090187324077104
7fx1__1__1.A__1.B,1.B,22,97.09818181818181,0.6708518483412782
7fxi__1__1.A__1.D,1.D,23,96.18260869565219,0.6774946163636283
7fy8__1__1.A__1.I_1.J,1.I,29,81.4648275862069,1.4316403325936857
7fy8__1__1.A__1.I_1.J,1.J,3,79.60333333333334,0.05184172406511077
7fyr__1__1.A__1.B,1.B,18,89.14166666666667,0.26300429736525377
7fys__1__1.A__1.B,1.B,19,88.83210526315789,0.8869065169934015
7fyx__1__1.A__1.C,1.C,22,96.43863636363636,0.41585861332199464
7fz0__1__1.A__1.E,1.E,29,96.7948275862069,0.19755546795940213
7fz3__1__1.A__1.B,1.B,17,97.52823529411766,0.36086224607197753
7fzc__1__1.A__1.B,1.B,18,97.12944444444445,0.37631385713806115
7fzl__1__1.A__1.B,1.B,16,93.819375,1.685836578120848
7fzs__1__1.A__1.B,1.B,23,97.79695652173915,0.36608545406231374
7g00__1__1.A__1.Q,1.Q,29,79.77310344827585,1.8427559105321423
7g07__1__1.A__1.B,1.B,29,90.65137931034484,0.8989044755292747
7g0g__1__1.A__1.B,1.B,18,94.52777777777777,1.9840756029484428
7g0j__1__1.A__1.D,1.D,24,96.69791666666667,0.2839596264167236
7g0t__1__1.A__1.B,1.B,23,95.95304347826087,0.9415787963424707
7g10__1__1.A__1.D,1.D,22,85.15590909090909,0.48415910833377385
7g1b__1__1.A__1.B,1.B,23,96.15913043478263,0.3572799459212464
7g1e__1__1.A__1.C,1.C,23,95.63130434782609,0.3033353178500022
7g1j__1__1.A__1.B,1.B,27,92.60259259259257,1.903932684082721
7g1m__1__1.A__1.B,1.B,27,97.18333333333334,0.5865290580496983
7g20__1__1.A__1.B,1.B,24,83.48375,2.4356001754654177
7gav__1__1.A_1.B__1.E_1.I_1.J,1.E,4,41.8925,0.07905927774923548
7gav__1__1.A_1.B__1.E_1.I_1.J,1.I,23,92.28173913043479,0.6578187431632779
7gav__1__1.A_1.B__1.E_1.I_1.J,1.J,4,44.705000000000005,0.09705131735354298
7gaw__1__1.A_1.B__1.K,1.K,33,89.69545454545454,0.7052648922042369
7ghm__1__1.A_1.B__1.N_1.P,1.N,30,91.94966666666666,0.4282803179779686
7ghm__1__1.A_1.B__1.N_1.P,1.P,4,39.21,0.11339809716454163
7ghn__1__1.A_1.B__1.N,1.N,37,93.24243243243244,0.6922503068880234
7gho__1__1.A_1.B__1.E_1.F,1.E,4,50.605000000000004,0.039159983792252814
7gho__1__1.A_1.B__1.E_1.F,1.F,23,96.15608695652172,0.188133327945776
7ghp__1__1.A_1.B__1.M_1.O,1.M,24,92.58,0.15460567829588506
7ghp__1__1.A_1.B__1.M_1.O,1.O,4,43.5425,0.05020525780127186
7ghq__1__1.A_1.B__1.D_1.E,1.D,4,46.197500000000005,0.08300306486386014
7ghq__1__1.A_1.B__1.D_1.E,1.E,28,89.71000000000001,0.48531509712296594
7ghr__1__1.A_1.B__1.M,1.M,24,93.86333333333334,0.37933174624943194
7ghs__1__1.A_1.B__1.E_1.F,1.E,4,47.9325,0.03710491873686139
7ghs__1__1.A_1.B__1.E_1.F,1.F,26,92.34730769230768,0.32570587553503183
7ghx__1__1.A_1.B__1.O_1.Q,1.O,25,92.4852,0.1924062738885006
7ghx__1__1.A_1.B__1.O_1.Q,1.Q,4,51.11,0.12585133183767686
7ghy__1__1.A_1.B__1.O_1.P_1.Q,1.O,24,92.88416666666667,0.33604834631344155
7ghy__1__1.A_1.B__1.O_1.P_1.Q,1.P,4,40.6475,0.09591776059747954
7ghy__1__1.A_1.B__1.O_1.P_1.Q,1.Q,4,63.3125,0.059833409579384204
7gi1__1__1.A_1.B__1.K_1.L_1.M_1.N,1.K,4,57.822500000000005,0.08144826969980089
7gi1__1__1.A_1.B__1.K_1.L_1.M_1.N,1.L,4,57.3875,0.06056142780066844
7gi1__1__1.A_1.B__1.K_1.L_1.M_1.N,1.M,26,96.29038461538462,0.36843194939561286
7gi1__1__1.A_1.B__1.K_1.L_1.M_1.N,1.N,4,44.69,0.05201730987850513
7gi2__1__1.A_1.B__1.E_1.F_1.H_1.J,1.E,4,42.0625,0.09566451313470332
7gi2__1__1.A_1.B__1.E_1.F_1.H_1.J,1.F,26,93.49499999999999,0.2537810548326781
7gi2__1__1.A_1.B__1.E_1.F_1.H_1.J,1.H,4,57.4775,0.08502941405394057
7gi2__1__1.A_1.B__1.E_1.F_1.H_1.J,1.J,4,45.435,0.05215778318605813
7gi4__1__1.A_1.B__1.J,1.J,24,94.22958333333334,0.38384997305013646
7gi6__1__1.A_1.B__1.D,1.D,27,92.13518518518516,0.8218804581825805
7gi7__1__1.A_1.B__1.L,1.L,31,93.72580645161287,0.8808055002427421
7gi8__1__1.A_1.B__1.R_1.U_1.V,1.R,25,90.34800000000001,0.7935056917291707
7gi8__1__1.A_1.B__1.R_1.U_1.V,1.U,4,41.4075,0.07714840428331222
